"age","gender","instanceId","dropped","tutorialMins","tutorialWords","exitSurveyWords","effort","entropy","time","normalizedEffort","chatFrac","chatWeight","classifyFrac","classifyWeight","filterFrac","filterWeight","verifyFrac","verifyWeight","groupEffortFrac","groupChatFrac","groupClassifyFrac","groupFilterFrac","groupVerifyFrac","g_nominalSize","g_wallTime","g_fracFemale","g_personTime","g_totalEffort","g_effortPerPerson","g_fractionalScore","g_binaryScore","g_precision","g_recall","g_f1","g_avgIndivEntropy","g_effortEntropy","g_groupEntropy","g_chatFrac","g_chatWeight","g_classifyFrac","g_classifyWeight","g_filterFrac","g_filterWeight","g_verifyFrac","g_verifyWeight"
"34","female","ywkEKFMvspp53YKDB",,44.38325,15,91,0.3559639415382594,1.3635590878375585,0.5091036111111111,0.6991974399108529,0,0,0.5611430470409084,0.1997466907914707,0.12211472326320917,0.043468438212625714,0.31674222969588245,0.11274881253416302,1,0,1,1,1,1,0.5091672222222222,1,0.5091036111111111,0.39095344770555773,0.7679251122424915,1.430347447068865,1,0.3333333333333333,0.02040816326530612,0.03846153846153846,1.3635590878375585,0,1.3635590878375585,0,0,0.5611430470409084,0.1997466907914707,0.12211472326320917,0.043468438212625714,0.31674222969588245,0.11274881253416302
"52","male","sXSctbGdzhqMxpfWk",,17.938783333333333,46,141,0.4820075511063421,1.1854557124158036,0.488935,0.9858315545140808,0,0,0.6960919551692324,0.33552157865594734,0.17361053838226584,0.08368159045188957,0.1302975064485017,0.0628043819985051,1,0,1,1,1,1,0.4890130555555556,,0.488935,0.48653955249731196,0.99510068311189,4.3808289618217335,5,1,0.10204081632653061,0.1851851851851852,1.1854557124158036,0,1.1854557124158036,0,0,0.6960919551692324,0.33552157865594734,0.17361053838226584,0.08368159045188957,0.1302975064485017,0.0628043819985051
"39","female","QYzcvKycJLsWy5mGS",,49.48041666666666,36,76,0.41624491193570706,1.2836503992781358,0.5217141666666667,0.7978409223486814,0,0,0.6496388239318484,0.27040885505752854,0.16362245824580027,0.06810701572322704,0.18673871782235144,0.07772904115495152,1,0,1,1,1,1,0.5235252777777778,1,0.5217141666666667,0.4320172521880477,0.8280726876716612,3.107689996177927,2,0.4,0.04081632653061224,0.07407407407407406,1.2836503992781358,0,1.2836503992781358,0,0,0.6496388239318484,0.27040885505752854,0.16362245824580027,0.06810701572322704,0.18673871782235144,0.07772904115495152
"43","male","QLeK2AKNC9o7LZDJj",,10.67065,56,108,0.9276354387374437,1.2484021199001554,0.5017011111111112,1.8489802358281031,0,0,0.5706368673434118,0.5293429807978662,0.36455649424583847,0.3381755234843227,0.06480663841074977,0.060116934455254734,1,0,1,1,1,1,0.5018063888888888,,0.5017011111111112,0.9486522758287754,1.890871387005317,5.638086118145665,5,0.625,0.10204081632653061,0.17543859649122806,1.2484021199001554,0,1.2484021199001554,0,0,0.5706368673434118,0.5293429807978662,0.36455649424583847,0.3381755234843227,0.06480663841074977,0.060116934455254734
"53","male","M4jwFyNM3hZu83BqH",,23.335133333333335,4,31,0.37235184601256055,1.2021712163257505,0.49358111111111114,0.7543883621768898,0,0,0.686662107034672,0.25567990314123457,0.18633916249872454,0.06938373114083458,0.12699873046660334,0.047288211730491365,1,0,1,1,1,1,0.49369805555555557,,0.49358111111111114,0.3768838474035302,0.763570239864161,2.6003384373136758,3,0.75,0.061224489795918366,0.11320754716981131,1.2021712163257505,0,1.2021712163257505,0,0,0.686662107034672,0.25567990314123457,0.18633916249872454,0.06938373114083458,0.12699873046660334,0.047288211730491365
"22","male","2BbazZrihhGuffT3D",,13.446016666666667,21,40,1.878562167554432,0.5739660297779352,0.47241916666666667,3.976473225693493,0,0,0.09579403777985489,0.17995505525051536,0.8877833484508167,1.667756211384498,0.01642261376932835,0.030850900919418726,1,0,1,1,1,1,0.47665805555555557,,0.47241916666666667,1.902576925656948,4.027306806964044,2.163681738382218,2,0.6666666666666666,0.04081632653061224,0.07692307692307691,0.5739660297779352,0,0.5739660297779352,0,0,0.09579403777985489,0.17995505525051536,0.8877833484508167,1.667756211384498,0.01642261376932835,0.030850900919418726
"24","female","wJTD7CaetAsnF8QF7",,13.7513,40,165,0.6326990166541026,1.425866211099776,0.5004088888888889,1.264364064473258,0,0,0.5626383875757647,0.35598075455103617,0.22336196105413664,0.1413208931168842,0.2139996513700987,0.1353973689861822,1,0,1,1,1,1,0.5141038888888889,1,0.5004088888888889,0.6372310180450725,1.2734206609718393,4.654378324181234,4,0.5714285714285714,0.08163265306122448,0.14285714285714285,1.425866211099776,0,1.425866211099776,0,0,0.5626383875757647,0.35598075455103617,0.22336196105413664,0.1413208931168842,0.2139996513700987,0.1353973689861822
"29","female","WPE2SnMdJCrfva6RD",,10.135883333333334,19,47,0.4332231820292921,1.1707531634343407,0.4999527777777778,0.8665282028332962,0,0,0.6742632806285745,0.29210648395942057,0.24679302059825647,0.1069164576861973,0.07894369877316908,0.03420024038367423,1,0,1,1,1,1,0.5172669444444444,1,0.4999527777777778,0.445997601270443,0.8920794544893655,2.6258150336736072,0,0,0,0,1.1707531634343407,0,1.1707531634343407,0,0,0.6742632806285745,0.29210648395942057,0.24679302059825647,0.1069164576861973,0.07894369877316908,0.03420024038367423
"29","male","Q8fxR3nw8JMdCY5ur",,5.1856,19,54,0.47683313200676836,1.1122328538302277,0.47457944444444444,1.0047488098962274,0,0,0.6250260597039015,0.2980331336344607,0.3429565264534413,0.16353303465095653,0.032017413842657196,0.01526696372135109,1,0,1,1,1,1,0.5276941666666667,,0.47457944444444444,0.9842729199873294,2.073989785081286,1.75,1,0.2,0.02040816326530612,0.03703703703703703,1.1122328538302277,0,1.1122328538302277,0,0,0.6250260597039015,0.2980331336344607,0.3429565264534413,0.16353303465095653,0.032017413842657196,0.01526696372135109
"29","female","jdqZoRhMLCsxcnNWR",,32.07358333333333,3,48,0.2899214346994238,0.942397150618471,0.4173366666666667,0.6946943747240607,0,0,0.7661105163810011,0.22211186004749625,0.19242360271072864,0.05578772696792638,0.041465880908270185,0.012021847684001137,1,0,1,1,1,1,0.4174130555555556,1,0.4173366666666667,0.29445343609039315,0.7055537162412276,1.889499259811298,1,0.2,0.02040816326530612,0.03703703703703703,0.942397150618471,0,0.942397150618471,0,0,0.7661105163810011,0.22211186004749625,0.19242360271072864,0.05578772696792638,0.041465880908270185,0.012021847684001137
